:	:	Z
2012	2012	Mdc
Timber	Timber	Xf
structures	structures	Xf
--	--	Z
Dowel-type	Dowel-type	Xf
fasteners	fasteners	Xf
--	--	Z
Requirements	Requirements	Npmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
14592:2008	14592:2008	Mdc
(	(	Z
EN	EN	Npmsn
14592:2008	14592:2008	Mdc
)	)	Z
1.3.2013.	1.3.2013.	Mdo
1.7.2013.	1.7.2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14604:2008	14604:2008	Var3p
Uređaji	uređaj	Ncmpn
za	za	Sa
javljanje	javljanje	Ncnsa
dimnog	diman	Agpmsgy
alarma	alarm	Ncmsg
EN	EN	Npfsg
14604:2005	14604:2005	Npfsg
Smoke	Smoka	Npfsg
alarm	alarm	Ncmsan
devices	devicei	Agpfsgy
1.5.2006.	1.5.2006.	Mdo
1.8.2008.	1.8.2008.	Mdo

EN	EN	Npmsn
14604:2005	14604:2005	Mdc
/	/	Z
AC	AC	Npmsn
:	:	Z
2008	2008	Mdc
1.8.2009.	1.8.2009.	Mdo
1.8.2009.	1.8.2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14647:2006	14647:2006	Mdc
Kalcijev	kalcijev	Aspmsnn
aluminatni	aluminatni	Agpmsny
cement	cement	Ncmsn
--	--	Z
Sastav	sastav	Ncmsn
,	,	Z
specifikacije	specifikacija	Ncfpn
i	i	Cc
kriteriji	kriterij	Ncmpn
sukladnosti	sukladnost	Ncfsg
EN	EN	Npmsn
14647:2005	14647:2005	Npmsn
Calcium	Calcium	Npmsn

