infrastrukturnih	infrastrukturni	Agpmpgy
željezničku	željeznički	Agpfsay
prugu	pruga	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
kada	kada	Cs
to	taj	Pd-nsa
uvjetuju	uvjetovati	Vmr3p
topografski	topografski	Agpmpny
i	i	Cc
urbanistički	urbanistički	Agpmpny
uvjeti	uvjet	Ncmpn
ili	ili	Cc
vodoravna	vodoravan	Agpfsny
geometrija	geometrija	Ncfsn
ceste	cesta	Ncfsg
,	,	Z
željezničko-cestovni	željezničko-cestovan	Agpmsny
prijelaz	prijelaz	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smije	smjeti	Vmr3s
biti	biti	Van
izveden	izvesti	Appmsnn
i	i	Cc
pod	pod	Si
kutom	kut	Ncmsi
manjim	mali	Agcmsiy
od	od	Sg
90	90	Mdc
º		Ncmpg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa

