ljuskasto-vermikulitnih	ljuskasto-vermikulitan	Agpmpgy
debeloslojni	debeloslojan	Agpmpny
premazi	premaz	Ncmpn
za	za	Sa
hidroizolaciju	hidroizolacija	Ncfsa
--	-i	Agpfsgy
Definicije	definicija	Ncfsg
i	i	Cc
zahtjevi	zahtjev	Ncmpn
EN	EN	Npmsn
15814:2011	15814:2011	Mdc
+	+	Z
A2	A2	X
:	:	Z
2014	2014	Mdc
Polymer	Polymer	Xf
modified	modified	Xf
bituminous	bituminous	Xf
thick	thick	Xf
coatings	coatings	Xf
for	for	Xf
waterproofing	waterproofing	Xf
--	--	Z
Definitions	Definitions	Xf
and	and	Xf
requirements	requirements	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
15814:2012	15814:2012	Mdc
(	(	Z
EN	EN	Npmsn
15814:2011	15814:2011	Mdc
+	+	Z
A1	A1	Xf
:	:	Z
2012	2012	Mdc
)	)	Z
10.7.2015.	10.7.2015.	Mdo
10.7.2016.	10.7.2016.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15821:2010	15821:2010	Mdc
Višestruko	višestruko	Rgp
ložene	ložiti	Agpfpay
peći	peć	Ncfpa
za	za	Sa
saune	sauna	Ncfpa
ložene	ložiti	Appfpny
cjepanicama	cjepanica	Ncfpl
prirodnog	prirodan	Agpnsgy
drveta	drvo	Ncnsg
--	--	Z
Zahtjevi	zahtjev	Ncmpn
i	i	Cc
metode	metoda	Ncfpn
ispitivanja	ispitivanje	Ncnsg
EN	EN	Npmsn
15821:2010	15821:2010	Mdc
Multi-firing	Multi-firing	Xf
sauna	sauna	Ncfsn
stoves	stoves	Xf
fired	fired	Xf
by	by	Xf
natural	natural	Xf
wood	wood	Xf
logs	logs	Xf
--	--	Z
Requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg
1.7.2011.	1.7.2011.	Mdo
1.7.2012.	1.7.2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15824:2009	15824:2009	Mdc
Specifikacije	specifikacija	Ncfsg
za	za	Sa
vanjske	vanjski	Agpfpay
i	i	Cc
unutrašnje	unutrašnji	Agpfpay
žbuke	žbuka	Ncfpa
na	na	Sl
osnovi	osnova	Ncfsl
organskih	organski	Agpnpgy
veziva	vezivo	Ncnpg
EN	EN	Xf
15824:2009	15824:2009	Xf
Specifications	Specifications	Xf
for	for	Xf
external	external	Xf
renders	renders	Xf
and	and	Xf
internal	internal	Xf
plasters	plasters	Xf
based	based	Xf
on	on	Xf
organic	organic	Xf
binders	binders	Xf
1.4.2010.	1.4.2010.	Mdo
1.4.2011.	1.4.2011.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
16034:2014	16034:2014	Mdc
Vrata	vrata	Ncnpa
za	za	Sa
pješake	pješak	Ncmpa
,	,	Z
industrijska	industrijski	Agpfsny
,	,	Z
komercijalna	komercijalan	Agpfsny
,	,	Z
garažna	garažni	Agpnpny
vrata	vrata	Ncnpn
i	i	Cc
prozori	prozor	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
otvarati	otvarati	Vmn
--	--	Z
Norma	norma	Ncfsn
za	za	Sa
proizvod	proizvod	Ncmsan
,	,	Z
izvedbene	izvedben	Agpfsgy
značajke	značajka	Ncfsg
--	--	Z
Otpornost	otpornost	Ncfsn
na	na	Sa
požar	požar	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
kontrola	kontrola	Ncfsn
propusnosti	propusnost	Ncfsg
dima	dim	Ncmsg
EN	EN	Npmsn
16034:2014	16034:2014	Npmsn
Pedestrian	Pedestrian	Npmsn

