serijsku	serijski	Agpfsay
,	,	Z
privatni	privatan	Agpmsny
uvoznik	uvoznik	Ncmsn
,	,	Z
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
stavlja	stavljati	Vmr3s
na	na	Sa
tržište	tržište	Ncnsa
ili	ili	Cc
pušta	puštati	Vmr3s
u	u	Sa
upotrebu	upotreba	Ncfsa
porivni	porivni	Agpmsayn
stroj	stroj	Ncmsan
ili	ili	Cc
plovilo	ploviti	Vmp-sn
nakon	nakon	Sg
njihove	njihov	Ps3fsg
značajnije	značajan	Agcfsgy
preinake	preinaka	Ncfsg
,	,	Z
ili	ili	Cc
bilo	bilo	Qo
koja	koji	Pi-fsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
mijenja	mijenjati	Vmr3s
predviđenu	predvidjeti	Agpfsay
svrhu	svrha	Ncfsa
plovila	plovilo	Ncnsg
koje	koji	Pi-nsn
nije	biti	Var3s
obuhvaćeno	obuhvatiti	Appnsny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
tako	tako	Cs
da	da	Cs
nakon	nakon	Sg
toga	taj	Pd-nsg
ulazi	ulaziti	Vmr3s
u	u	Sa
njezino	njezin	Ps3nsa
područje	područje	Ncnsa
primjene	primjena	Ncfsg
ili	ili	Cc
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
stavlja	stavljati	Vmr3s
na	na	Sa
tržište	tržište	Ncnsa
plovilo	plovilo	Ncnsg
građeno	graditi	Appnsny
za	za	Sa
vlastite	vlastit	Agpfpay
potrebe	potreba	Ncfpa
(	(	Z
samogradnju	samogradnja	Ncfsa
)	)	Z
prije	prije	Sg
isteka	istek	Ncmsg
petogodišnjeg	petogodišnji	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Dodatak	dodatak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
DODATAK	dodatak	Ncmsn
1.	1.	Mdo

SASTAVNI	sastavan	Agpmpny
DIJELOVI	dio	Ncmpn
PLOVILA	ploviti	Vmp-sf

(	(	Z
1	1	Mdc
)	)	Z
oprema	opremati	Vmr3s
sa	sa	Si
zaštitom	zaštita	Ncfsi
od	od	Sg
paljenja	paljenje	Ncnsg
za	za	Sa
ugrađene	ugraditi	Agpmpay
motore	motor	Ncmpa
i	i	Cc
benzinske	benzinski	Agpmpay
krmene	krmeni	Agpmpay
propulzore	propulzor	Agpmpay
te	te	Cc
prostore	prostor	Ncmpa
za	za	Sa
spremnike	spremnik	Ncmpa
za	za	Sa
benzin	benzin	Ncmsan
;	;	Z

(	(	Z
2	2	Mdc
)	)	Z
zaštita	zaštita	Ncfsn
od	od	Sg
upućivanja	upućivanje	Ncnsg
motora	motor	Ncmpg
u	u	Sl
radnom	radni	Agpmsly
položaju	položaj	Ncmsl
za	za	Sa
izvanbrodske	izvanbrodski	Agpmpay
motore	motor	Ncmpa
;	;	Z

(	(	Z
3	3	Mdc
)	)	Z
kormila	kormilo	Ncnsg
,	,	Z
mehanizmi	mehanizam	Ncmpn

