HZMO	HZMO	Npmsn
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Praktični	praktičan	Agpmsny
dio	dio	Ncmsn
provjere	provjera	Ncfsg
znanja	znanje	Ncnsg
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
demonstraciju	demonstracija	Ncfsa
samostalnog	samostalan	Agpnsgy
spajanja	spajanje	Ncnsg
manjih	mali	Agcmpgy
kotlova	kotao	Ncmpg
i	i	Cc
peći	peći	Vmn
na	na	Sa
biomasu	biomasa	Ncfsa
i	i	Cc
provjeru	provjera	Ncfsa
stečenih	steći	Agpfpgy
vještina	vještina	Ncfpg
.	.	Z

Samostalno	samostalan	Agpnsny
spajanje	spajanje	Ncnsn
manjih	mali	Agcmpgy
kotlova	kotao	Ncmpg
i	i	Cc
peći	peći	Vmn
na	na	Sa
biomasu	biomasa	Ncfsa
obuhvaća	obuhvaćati	Vmr3s
:	:	Z
priprema	pripremati	Vmr3s
prostorije	prostorija	Ncfpa
za	za	Sa
ugradnju	ugradnja	Ncfsa
kotla	kotao	Ncmsg
(	(	Z
kotlovnica	kotlovnica	Ncfsn
)	)	Z
,	,	Z
otvor	otvor	Ncmsn
svježeg	svjež	Agpmsgy
zraka	zrak	Ncmsg
ovisno	ovisno	Rgp
o	o	Sl
snazi	snaga	Ncfsl
kotla	kotao	Ncmsg
,	,	Z
minimalne	minimalan	Agpfsgy
udaljenosti	udaljenost	Ncfsg
kotla	kotao	Ncmsg
od	od	Sg
zidova	zid	Ncmpg
kotlovnice	kotlovnica	Ncfsg
definirano	definirati	Appnsny
vrstom	vrsta	Sg
goriva	gorivo	Ncnsg
,	,	Z
provjera	provjera	Ncfsn
protočnosti	protočnost	Ncfsg
dimnjaka	dimnjak	Ncmpg
,	,	Z
spajanje	spajanje	Ncnsa
dimovoda	dimovod	Ncmpg
na	na	Sa
dimnjak	dimnjak	Ncmsan
i	i	Cc
postavljanje	postavljanje	Ncnsa
izolacije	izolacija	Ncfsg
,	,	Z
sastavljanje	sastavljanje	Ncnsn
komponenti	komponenta	Ncfpg
kotla	kotao	Ncmsg
prema	prema	Sl
vrsti	vrsta	Ncfsl
goriva	gorivo	Ncnsg
,	,	Z
spajanje	spajanje	Ncnsa
tijela	tijelo	Ncnsg
kotla	kotao	Ncmsg
s	sa	Si
oplatom	oplata	Ncfsi
i	i	Cc
toplinskom	toplinski	Agpfsiy
izolacijom	izolacija	Ncfsi
,	,	Z
priključenje	priključenje	Ncnsa
kotla	kotao	Ncmsg
na	na	Sa
vodovodnu	vodovodni	Agpfsay
instalaciju	instalacija	Ncfsa
,	,	Z
montaža	montaža	Ncfsn
plamenika	plamenik	Ncmsg
prema	prema	Sl

