315/2	315/i	Agpnsny
20.02.2015	20.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0035	06/0035	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6469	Z-6469	Mdc
Krapinsko-zagorska	krapinsko-zagorski	Agpfsny
županija	županija	Ncfsn
Općina	općina	Ncfsn
:	:	Z
DESINIĆ	DESINIĆ	Npmsn
Hum	hum	Ncmsn
Košnički	košnički	Agpmsny
Klavir	klavir	Ncmsn
iz	iz	Sg
Velikog	velik	Agpmsgy
Tabora	tabor	Ncmsg
Datum	datum	Ncmsn
:	:	Z
13.03.2015	13.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
08	08	Mdc
-	-	Z
06/0529	06/0529	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6486	Z-6486	Mdc
Ličko-senjska	ličko-senjski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
SENJ	SENJ	Npmsn
Senj	Senj	Npmsn
Senjski	senjski	Agpmpny
topovi	top	Ncmpn
Datum	datum	Ncmsn
:	:	Z
22.01.2015	22.01.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0014	06/0014	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6449	Z-6449	Y
Općina	općina	Ncfsn
:	:	Z
BRINJE	brinje	Ncnsn
Brinje	Brinje	Var3s
