se	sebe	Px--sa
iz	iz	Sg
čeličnog	čeličan	Agpmsgy
lima	lim	Ncmsg
debljine	debljina	Ncfsg
2	2	Mdc
mm	mm	Y
,	,	Z
a	a	Cc
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
temeljnog	temeljan	Agpmsgy
kvadrata	kvadrat	Ncmsg
veličine	veličina	Ncfsg
13	13	Mdc
×	×	Z
13	13	Mdc
mm	mm	Y
,	,	Z
iz	iz	Sg
kojeg	koji	Pi-msg
su	biti	Var3p
razvijena	razviti	Appnpny
stilizirana	stiliziran	Agpnpny
krila	krilo	Ncnpn
,	,	Z

