lokaciji	lokacija	Ncfsl
otok	otok	Ncmsn
Sv.	Sv.	Y
Katarina	Katarina	Npfsn
–	–	Z
Monumenti	monument	Ncmpn
su	biti	Var3p
u	u	Sl
cijelosti	cijelost	Ncfsl
čestice	čestica	Ncfsg
zemljišta	zemljište	Ncnsg
katastarskih	katastarski	Agpfpgy
i	i	Cc
zemljišnoknjižnih	zemljišnoknjižni	Agpmpgy
brojeva	broj	Ncmpg
:	:	Z
241/13	241/13	Mdc
i	i	Cc
240/3	240/3	Mdc
na	na	Sl
dijelu	dio	Ncmsl
k.	ki	Agpmsly
o.	o	Ncmsl
Štinjan	Štinjan	Npmsn
,	,	Z
te	te	Cc
djelomično	djelomično	Rgp
čestice	čestica	Ncfpn
zemljišta	zemljište	Ncnsg
katastarskih	katastarski	Agpfpgy
i	i	Cc
zemljišnoknjižnih	zemljišnoknjižni	Agpmpgy
brojeva	broj	Ncmpg
:	:	Z
241/11	241/11	Mdc
,	,	Z
241/10	241/10	Mds
,	,	Z
241/7	241/7	Mdc
,	,	Z
241/14	241/14	Mdc
i	i	Cc
280/14	280/14	Mdc
na	na	Sl
dijelu	dio	Ncmsl
k.	ki	Agpmsly
o.	o	Ncmsl
Štinjan	Štinjan	Npmsn
.	.	Z

Površina	površina	Ncfsn
lučkog	lučki	Agpnsgy
područja	područje	Ncnsg
luke	luka	Ncfsg
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
–	–	Z
luke	luka	Ncfsg
nautičkog	nautički	Agpmsgy
turizma	turizam	Ncmsg
»	»	Z
Luka	Luka	Npmsn
2	2	Mdc
«	«	Z
na	na	Sl
dijelu	dio	Ncmsl
k.	ka	Ncfsg
o.	o.	Mro
Štinjan	Štinjan	Npmsn
,	,	Z
na	na	Sl
lokaciji	lokacija	Ncfsl
otok	otok	Ncmsn
Sv.	Sv.	Y
Katarina	Katarina	Npfsn
–	–	Agpmpny
Monumenti	monument	Ncmpn
iznosi	iznositi	Vmr3s
200.000	200.000	Mdc
m²	m	Ncmpg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
je	biti	Var3s
92.459	92.459	Mdc
m²	m²	Sa
kopneni	kopnen	Agpmsayn
prostor	prostor	Ncmsan
,	,	Z
a	a	Cc
107.541	107.541	Mdc
m²	m²	Agpmsny
morski	morski	Agpmsny
akvatorij	akvatorij	Ncmsn
.	.	Z

U	u	Sl
obuhvatu	obuhvat	Ncmsl
granice	granica	Ncfsg
pomorskog	pomorski	Agpnsgy
dobra	dobro	Ncnsg
izvan	izvan	Sg
lučkog	lučki	Agpnsgy
područja	područje	Ncnsg
je	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
čestica	čestica	Ncfpg
zgrade	zgrada	Ncfsg
katastarskog	katastarski	Agpmsgy
i	i	Cc
zemljišnoknjižnog	zemljišnoknjižni	Agpmsgy
broja	broj	Ncmsg
53	53	Mdc
(	(	Z
zgr	zgr	Ncmsn
.	.	Z
)	)	Z
na	na	Sl
dijelu	dio	Ncmsl
k.	k.	Y
o.	o.	Y
Štinjan	Štinjan	Npmsn
,	,	Z
te	te	Cc
djelomično	djelomično	Rgp
čestice	čestica	Ncfpn
zemljišta	zemljište	Ncnsg
i	i	Cc
zgrade	zgrada	Ncfsg
katastarskih	katastarski	Agpfpgy
i	i	Cc
zemljišnoknjižnih	zemljišnoknjižni	Agpmpgy
brojeva	broj	Ncmpg
:	:	Z
280/1	280/1	Mdc
,	,	Z
280/10	280/10	Mds
,	,	Z
280/14	280/14	Mdc
,	,	Z
273	273	Mdc
i	i	Cc
188	188	Mdc
(	(	Z
zgr	zgr	Ncmsn
.	.	Z
)	)	Z
na	na	Sl
dijelu	dio	Ncmsl
k.	k.	Y
o.	o.	Y
Štinjan	Štinjan	Npmsn
.	.	Z

Površina	površina	Ncfsn
pomorskog	pomorski	Agpnsgy
dobra	dobro	Ncnsg
izvan	izvan	Sg
lučkog	lučki	Agpmsgy

