ha	ha	Ncmpg
;	;	Z

3.	3.	Mdo
skupinast	skupinast	Ncfsn
–	–	Z
raspored	raspored	Ncmsan
stabala	stablo	Ncmpg
iste	isti	Agpfsgy
vrste	vrsta	Ncfsg
drveća	drveće	Ncnsg
u	u	Sl
jednodobnim	jednodoban	Agpfply
sastojinama	sastojina	Ncfpl
na	na	Sl
površini	površina	Ncfsl
većoj	velik	Agcfsly
od	od	Sg
0,2	0,2	Mdc
ha	ha	Ncmpg
do	do	Sg
1,0	1,0	Mdc
ha	ha	I
,	,	Z
odnosno	odnosno	Rgp
skupine	skupina	Ncfsg
stabala	stablo	Ncmpg
iste	isti	Agpfsgy
dobi	dob	Ncfsg
i	i	Cc
razvojnih	razvojan	Agpmpgy
stadija	stadij	Ncmpg
u	u	Sl
raznodobnim	raznodoban	Agpfply
sastojinama	sastojina	Ncfpl
na	na	Sl
površini	površina	Ncfsl
većoj	velik	Agcfsly
od	od	Sg
0,2	0,2	Mdc
ha	ha	Ncmpg
do	do	Sg
2,0	2,0	Mdc
ha	ha	Ncmpg
.	.	Z

Utvrđivanje	utvrđivanje	Ncnsn
elemenata	element	Ncmpg
strukture	struktura	Ncfsg
sastojine	sastojina	Ncfsg

Članak	članak	Ncmsn
16.	16.	Mdo

Starost	starost	Ncfsn
jednodobnih	jednodoban	Agpfpgy
sastojina	sastojina	Ncfpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
evidencije	evidencija	Ncfsg
o	o	Sl
godini	godina	Ncfsl
osnutka	osnutak	Ncmsg
,	,	Z
podataka	podatak	Ncmpg
iz	iz	Sg
prethodnih	prethodan	Agpmpgy
šumskogospodarskih	šumskogospodarski	Agpmpgy
planova	plan	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
brojenjem	brojenje	Ncnsi
godova	god	Ncmpg
na	na	Sl
panju	panj	Ncmsl
triju	trio	Ncmsl
srednje	srednji	Agpfsgy
plošnih	plošni	Agpmpgy
stabala	stablo	Ncmpg
glavne	glavni	Agpfsgy
vrste	vrsta	Ncfsg
drveća	drveće	Ncnsg
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sklop	sklop	Ncmsn
sastojine	sastojina	Ncfsg
je	biti	Var3s
stupanj	stupanj	Ncmsn
zastiranja	zastiranje	Ncnsg
tla	tlo	Ncnsg
krošnjama	krošnja	Ncfpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sklop	sklop	Ncmsn
sastojine	sastojina	Ncfsg
se	sebe	Px--sa
u	u	Sl
jednodobnim	jednodobnia	Ncfsl
i	i	Cc
raznodobnim	raznodoban	Agpfply
sastojinama	sastojina	Ncfpl
visokog	visok	Agpmsgy
i	i	Cc
niskog	nizak	Agpmsgy
uzgojnog	uzgojan	Agpmsgy
oblika	oblik	Ncmsg
iskazuje	iskazivati	Vmr3s
kao	kao	Cs
:	:	Z

1.	1.	Mdo
potpun	potpun	Agpmsann
sklop	sklop	Ncmsan
–	–	Z
kad	kad	Cs
su	biti	Var3p
krošnje	krošnja	Ncfpn
pravilno	pravilno	Rgp
raspoređene	raspoređen	Agpfpny
i	i	Cc
međusobno	međusobno	Rgp

