direktiva	direktiva	Ncfsn
prehrane	prehrana	Ncfsg
i	i	Cc
gastro	gastro	Agpmpiy
odjelima	odjel	Ncmpi
u	u	Sl
trgovinama	trgovina	Ncfpl
može	moći	Vmr3s
se	sebe	Px--sa
donirati	donirati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Hrana	hrana	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
koja	koji	Pi-fsn
je	biti	Var3s
već	već	Rgp
bila	biti	Vap-sf
poslužena	poslužiti	Appfsny
krajnjem	krajnji	Agpmsly
potrošaču	potrošač	Ncmsl
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
donirati	donirati	Vmn
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Hrana	hrana	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
označena	označiti	Appfsny
»	»	Z
upotrijebiti	upotrijebiti	Vmn
do	do	Sg
«		Agpmsiy
datumom	datum	Ncmsi
mora	morati	Vmr3s
se	sebe	Px--sa
donirati	donirati	Vmn
krajnjem	krajnji	Agpmsdy
primatelju	primatelj	Ncmsd
isključivo	isključivo	Rgp
prije	prije	Sg
isteka	istek	Ncmsg
toga	taj	Pd-msg
datuma	datum	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
izravnog	izravan	Agpnsgy
doniranja	doniranje	Ncnsg
hrane	hrana	Ncfsg
,	,	Z
donator	donator	Ncmsn
mora	morati	Vmr3s
hranu	hrana	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
označena	označiti	Appfsny
datumom	datum	Ncmsi
minimalne	minimalan	Agpfsgy
trajnosti	trajnost	Ncfsg
donirati	donirati	Vmn
krajnjem	krajnji	Agpmsly
primatelju	primatelj	Ncmsl
prije	prije	Sg
isteka	istek	Ncmsg
toga	taj	Pd-msg
datuma	datum	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
doniranja	doniranje	Ncnsg
hrane	hrana	Ncfsg
preko	preko	Sg
posrednika	posrednik	Ncmpg
,	,	Z
donator	donator	Ncmsn
