točke	točka	Ncfpn
36	36	Mdc
6	6	Mdc
515	515	Mdc
988.46	988.46	Mdc
4719487.83	4719487.83	Mdc
37	37	Mdc
6	6	Mdc
515	515	Mdc
995.32	995.32	Mdc
4719495.91	4719495.91	Mdc
38	38	Mdc
6	6	Mdc
515	515	Mdc
998.01	998.01	Mdc
4719498.94	4719498.94	Mdc
39	39	Mdc
6	6	Mdc
516	516	Mdc
005.75	005.75	Mdc
4719506.63	4719506.63	Mdc
40	40	Mdc
6	6	Mdc
516	516	Mdc
009.29	009.29	Mdc
4719507.55	4719507.55	Mdc
41	41	Mdc
6	6	Mdc
516	516	Mdc
025.19	025.19	Mdc
4719525.93	4719525.93	Mdc
42	42	Mdc
6	6	Mdc
516	516	Mdc
026.78	026.78	Mdc
4719535.71	4719535.71	Mdc
43	43	Mdc
6	6	Mdc
516	516	Mdc
027.33	027.33	Mdc
4719539.74	4719539.74	Mdc
44	44	Mdc
6	6	Mdc
516	516	Mdc
028.44	028.44	Mdc
4719545.98	4719545.98	Mdc
45	45	Mdc
6	6	Mdc
516	516	Mdc
030.25	030.25	Mdc
4719557.78	4719557.78	Mdc
46	46	Mdc
6	6	Mdc
516	516	Mdc
032.71	032.71	Mdc
4719558.56	4719558.56	Mdc
47	47	Mdc
6	6	Mdc
516	516	Mdc
049.50	049.50	Mdc
4719569.64	4719569.64	Mdc
48	48	Mdc
6	6	Mdc
516	516	Mdc
050.80	050.80	Mdc
4719567.89	4719567.89	Mdc
49	49	Mdc
6	6	Mdc
516	516	Mdc
057.40	057.40	Mdc
4719566.99	4719566.99	Mdc
50	50	Mdc
6	6	Mdc
516	516	Mdc
069.07	069.07	Mdc
4719564.87	4719564.87	Mdc
51	51	Mdc
6	6	Mdc
516	516	Mdc
077.88	077.88	Mdc
4719570.21	4719570.21	Mdc
52	52	Mdc
6	6	Mdc
516	516	Mdc
084.20	084.20	Mdc
4719573.40	4719573.40	Mdc
53	53	Mdc
6	6	Mdc
516	516	Mdc
088.93	088.93	Mdc
4719576.91	4719576.91	Mdc
54	54	Mdc
6	6	Mdc
516	516	Mdc
091.76	091.76	Mdc
4719580.36	4719580.36	Mdc
55	55	Mdc
6	6	Mdc
516	516	Mdc
095.05	095.05	Mdc
4719585.98	4719585.98	Mdc
56	56	Mdc
6	6	Mdc
516	516	Mdc
098.71	098.71	Mdc
4719592.75	4719592.75	Mdc
57	57	Mdc
6	6	Mdc
516	516	Mdc
114.40	114.40	Mdc
4719607.39	4719607.39	Mdc
58	58	Mdc
6	6	Mdc
516	516	Mdc
117.09	117.09	Mdc
4719608.84	4719608.84	Mdc
59	59	Mdc
6	6	Mdc
516	516	Mdc
127.54	127.54	Mdc
4719610.95	4719610.95	Mdc
60	60	Mdc
6	6	Mdc
516	516	Mdc
140.90	140.90	Mdc
4719619.05	4719619.05	Mdc
61	61	Mdc
6	6	Mdc
516	516	Mdc

