skladanog	skladati	Agpnsgy
samostalne	samostalan	Agpfsgy
izložbe	izložba	Ncfsg
i	i	Cc
2	2	Mdc
skupne	skupni	Agpfsgy
žirirane	žirirati	Ncfsg
izložbe	izložba	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Multimedijalni	multimedijalan	Agpmsny
umjetnik	umjetnik	Ncmsn

a	a	Cc
)	)	Z
3	3	Mdc
samostalna	samostalan	Agpfsny
multimedijalna	multimedijalan	Agpfsny
projekta	projekt	Ncmsg

b	b	Npmsn
)	)	Z
5	5	Mdc
skupnih	skupni	Agpmpgy
multimedijalnih	multimedijalan	Agpmpgy
projekata	projekat	Ncmpg
,	,	Z

c	C	Npmsn
)	)	Z
2	2	Mdc
samostalna	samostalan	Agpfsny
i	i	Cc
2	2	Mdc
skupna	skupni	Agpfsny
multimedijalna	multimedijalan	Agpfsny
projekta	projekt	Ncmsg
ili	ili	Cc

d	d	Npmsn
)	)	Z
5	5	Mdc
skupnih	skupni	Agpfpgy
žiriranih	žirirati	Agpfpgy
izložbi	izložba	Ncfpg
.	.	Z

Pod	pod	Si
multimedijalnim	multimedijalan	Agpmsiy
projektom	projekt	Ncmsi
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
video	video	Ncmsn
,	,	Z
film	film	Ncmsn
,	,	Z
računalna	računalni	Agpfsny
umjetnost	umjetnost	Ncfsn
,	,	Z
performans	performans	Ncmsan
i	i	Cc
drugi	drugi	Mlompn
oblici	oblik	Ncmpn
suvremenog	suvremen	Agpnsgy
umjetničkog	umjetnički	Agpnsgy
izražavanja	izražavanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kipar	kipar	Ncmsn

a	a	Cc
)	)	Z
3	3	Mdc
samostalne	samostalan	Agpfsgy
izložbe	izložba	Ncfsg

b	b	Npmsn
)	)	Z
5	5	Mdc
skupnih	skupni	Agpmpgy
žiriranih	žirirati	Agpmpgy

