opasnim	opasan	Agpmsiy
–	–	Z
ostale	ostali	Agpfpay
otpadne	otpadni	Agpfpay
gume	guma	Ncfpa
(	(	Z
osim	osim	Sg
otpada	otpad	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
drugačije	drugačije	Rgp
klasificiran	klasificirati	Appmsnn
)	)	Z
B3050	B3050	X
Netretirano	netretiran	Agpnsny
pluto	pluto	Ncnsn
i	i	Cc
drvni	drvni	Agpmsny
otpad	otpad	Ncmsn
:	:	Z
–	–	Z
drvni	drvni	Agpmsny
otpad	otpad	Ncmsn
i	i	Cc
ostaci	ostatak	Ncmpn
drveta	drvo	Ncnsg
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
radi	raditi	Vmr3s
li	li	Cs
se	sebe	Px--sa
o	o	Sl
trupcima	trupac	Ncmpl
,	,	Z
briketima	briket	Ncmpl
,	,	Z
peletama	peleta	Ncmpl
ili	ili	Cc
sličnim	sličan	Agpmpiy
oblicima	oblik	Ncmpi
–	–	Z
otpad	otpad	Ncmsn
od	od	Sg
pluta	pluto	Ncnsg
:	:	Z
drobljeno	drobiti	Appnsny
,	,	Z
granulirano	granulirati	Appnsny
ili	ili	Cc
mljeveno	mljeven	Agpnsny
pluto	pluto	Ncnsn
B3060	b3060	Agpmsnn
Otpad	otpad	Ncmsn
iz	iz	Sg
poljoprivredno-prehrambene	poljoprivredno-prehrambeni	Agpfsgy
industrije	industrija	Ncfsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
nije	biti	Var3s
infektivan	infektivan	Agpmsnn
:	:	Z
–	–	Z
vinska	vinski	Agpfsny
komina	komina	Ncfsn
–	–	Cc
peletirani	peletirati	Appmpny
osušeni	osušiti	Appmpny
i	i	Cc
sterilizirani	sterilizirati	Appmpny
biljni	biljan	Agpmsayn
otpad	otpad	Ncmsan
,	,	Z
otpaci	otpadak	Ncmpn
i	i	Cc
nusproizvodi	nusproizvod	Ncmpn
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
jesu	biti	Var3p
li	li	Qq
ili	ili	Cc
nisu	biti	Var3p
peletirani	peletirati	Appmpny
,	,	Z
koriste	koristiti	Vmr3p
se	sebe	Px--sa
za	za	Sa
prehranu	prehrana	Ncfsa
životinja	životinja	Ncfpg
,	,	Z
nisu	biti	Var3p
nigdje	nigdje	Rgp
drugdje	drugdje	Rgp
opisani	opisati	Appmpny
ili	ili	Cc
navedeni	navesti	Appmpny
–	–	Z
degras	degras	Agpmpny
:	:	Z
ostaci	ostatak	Ncmpn
od	od	Sg
prerade	prerada	Ncfsg
masnih	mastan	Agpfpgy
tvari	tvar	Ncfpg
ili	ili	Cc
životinjskih	životinjski	Agpmpgy
ili	ili	Cc
biljnih	biljan	Agpmpgy
voskova	vosk	Ncmpg
–	–	Z
otpadne	otpadni	Agpfsgy
kosti	kost	Ncfsg
i	i	Cc
rogovlje	rogovlje	Ncnsa
,	,	Z
neprerađene	neprerađen	Agpfsgy
,	,	Z
odmašćene	odmašćen	Ncmpa
,	,	Z
jednostavno	jednostavno	Rgp
obrađene	obraditi	Appfpny
(	(	Z
ali	ali	Cc
nisu	biti	Var3p
izrezane	izrezati	Appfpny
u	u	Sa
oblike	oblik	Ncmpa
)	)	Z
,	,	Z
obrađene	obrađen	Agpmpay
kiselinom	kiselina	Ncfsi
,	,	Z
