Navigation	Navigation	Xf
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
plovidbenom	plovidben	Agpfsiy
službom	služba	Ncfsi
u	u	Sl
istom	isti	Agpnsly
zvanju	zvanje	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo

