Toplice	toplice	Ncfpn
ŽC	ŽC	Npmsn
2222	2222	Mdc
D.	D.	Y
Stubica	Stubica	Npfsn
(	(	Z
Ž2221	Ž2221	X
)	)	Z
–	–	Z
D.	D.	Y
Podgora	Podgor	Npmsg
2,0	2,0	Mdc
ŽC	ŽC	Npmsn
2223	2223	Mdc
Modrovec	Modrovec	Npmsn
–	–	Z
D307	D307	Mdc
1,4	1,4	Mdc
ŽC	ŽC	Npmsn
2224	2224	Mdc
D307	D307	X
–	–	Z
G.	G.	Y
Stubica	Stubica	Npfsn
–	–	Z
Sv.	Sv.	Y
Matej	Matej	Npmsn
–	–	Z
D29	D29	Npmsn
10,2	10,2	Mdc
ŽC	ŽC	Npmsn
2225	2225	Mdc
G.	G.	Y
Stubica	Stubica	Npfsn
(	(	Z
Ž2224	Ž2224	X
)	)	Z
–	–	Z
Slani	slan	Agpmsny
Potok	potok	Ncmsn
2,2	2,2	Mdc
ŽC	ŽC	Npmsn
2226	2226	Mdc
Ž2224	Ž2224	X
–	–	Z
Hum	hum	Ncmsn
Stubički	stubički	Agpmsny
–	–	Z
Sekirevo	sekirev	Agpnsny
Selo	selo	Ncnsn
2,5	2,5	Mdc
ŽC	ŽC	Npmsn
2227	2227	Mdc
M.	M.	Y
Bistrica	Bistrica	Npfsn
(	(	Z
D29	D29	X
)	)	Z
–	i	Agpnsny
Podgorje	podgorje	Ncnsn
Bistričko	bistrički	Agpnsny
1,6	1,6	Mdc
ŽC	ŽC	Y
2228	2228	Mdc
Trema	trema	Ncfsn
(	(	Z
Ž2212	Ž2212	X
)	)	Z
–	i	Agpnsny
Dvorište	dvorište	Ncnsn
–	–	Z
D22	D22	X
3,2	3,2	Mdc
ŽC	ŽC	Npmsn
2229	2229	Mdc
Brezovljani	Brezovljan	Npmpn
–	–	Z
Sv.	Sv.	Y
Ivan	Ivan	Npmsn
Žabno	Žabno	Npmsn
(	(	Z
D28	D28	X
)	)	Z
3,2	3,2	Mdc
ŽC	ŽC	Npmsn
2230	2230	Mdc
Sv.	Sv.	Y
Ivan	Ivan	Npmsn
Žabno	Žabno	Npmsn
(	(	Z
D28	D28	X
)	)	Z
–	–	Z
Cirkvena	Cirkven	Npmsg
(	(	Z
Ž2231	Ž2231	X
)	)	Z
3,2	3,2	Mdc
ŽC	ŽC	Npmsn
2231	2231	Mdc
Kenđelovec	Kenđelovec	Npmsn
(	(	Z
D28	D28	X
)	)	Z
–	–	Z
Cirkvena	Cirkven	Npmsg
–	–	Z
Farkaševac	Farkaševac	Npmsn
–	–	Z
Sišćani	Sišćan	Npmpn
–	–	Z
D43	D43	X
20,9	20,9	Mdc
ŽC	ŽC	Npmsn
2232	2232	Mdc
Budančevica	Budančevica	Npfsn
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
Suha	suh	Agpfsny
Katalena	Katalena	Npfsn
–	–	Z
Šandrovac	Šandrovac	Npmsn
–	–	Z
Bulinac	Bulinac	Npmsn
(	(	Z
D28	D28	X
)	)	Z
27,5	27,5	Mdc
ŽC	ŽC	Npmsn
2234	2234	Mdc
Kloštar	Kloštar	Npmsn
Podravski	podravski	Agpmsny
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
Dinjevac	Dinjevac	Npmsn
–	–	Z
Grabrovnica	Grabrovnica	Npfsn
–	–	Z
Ž4002	Ž4002	X
9,1	9,1	Mdc
ŽC	ŽC	Npmsn
2235	2235	Mdc
Ž2185	Ž2185	X
–	–	Z
Podravske	Podravska	Npfsg
Sesvete	Sesveta	Npfsg
3,3	3,3	Mdc
ŽC	ŽC	Y
2236	2236	Mdc
Virje	Virje	Npnsa
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
Miholjanec	Miholjanec	Npmsn
–	–	Z
Donje	donji	Agpfpny
Zdjelice	zdjelica	Ncfpn
–	–	Z
Babotok	Babotok	Npmsn
–	–	Z
D43	D43	X
13,6	13,6	Mdc
ŽC	ŽC	Npmsn

