Pristeg	pristi	Agpnsgy
3,4	3,4	Mdc
LC	LC	Y
65043	65043	Mdc
Drinovci	Drinovc	Npmpn
(	(	Z
Ž6077	Ž6077	X
)	)	Z
–	–	Z
Nos	Nos	Npmsn
Kalik	Kalik	Npmsn
5,3	5,3	Mdc
LC	LC	Y
65047	65047	Mdc
Pokrovnik	Pokrovnik	Npmsn
(	(	Z
Ž6093	Ž6093	X
)	)	Z
–	–	Z
L65048	L65048	X
5,9	5,9	Mdc
LC	LC	Y
65048	65048	Mdc
Mirlović	Mirlović	Npfsn
Zagora	Zagora	Npfsn
(	(	Z
Ž6092	Ž6092	X
)	)	Z
–	–	Z
Ostrogašica	Ostrogašica	Npfsn
–	–	Z
Ž6094	Ž6094	X
6,5	6,5	Mdc
LC	LC	Y
65049	65049	Mdc
L65047	L65047	X
–	–	Z
Radonić	Radonić	Npmsn
(	(	Z
Ž6092	Ž6092	X
)	)	Z
2,9	2,9	Mdc
LC	LC	Npmsn

