tekućim	tekući	Agpmpiy
6579:2002	6579:2002	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
6579:2002	6579:2002	Mdc
)	)	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
6579:2003	6579:2003	Mdc
/	/	Z
Ispr	Ispr	Npmsn
.	.	Z
1:2008	1:2008	Mdc
(	(	Z
ISO6579	ISO6579	X
:	:	Z
2002	2002	Mdc
/	/	Z
Corr	Corr	Npmsan
.	.	Z
1:2004	1:2004	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
6579:2002	6579:2002	Mdc
/	/	Z
AC	AC	Npmsn
:	:	Z
2006	2006	Mdc
)	)	Z

4.	4.	Mdo
Zavod	zavod	Ncmsn
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
»	»	Z
Dr.	Dr.	Y
Andrija	Andrija	Npfsn
Štampar	Štampar	Npfsn
«	«	Z
,	,	Z
Mirogojska	mirogojski	Agpfsny
cesta	cesta	Ncfsn
16	16	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

Mikotoksini	mikotoksin	Agpmsny

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
uzorkovanje	uzorkovanje	Ncnsa
Uzorkovanje	uzorkovanje	Ncnsn
za	za	Sa
kontrolu	kontrola	Ncfsa
količine	količina	Ncfsg
mikotoksina	mikotoksin	Ncmpg
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
24333:2010	24333:2010	Mdc
Dječja	dječji	Agpfsny
hrana	hrana	Ncfsn
na	na	Sl
bazi	baza	Ncfsl
mlijeka	mlijeko	Ncnsg
Određivanje	određivanje	Ncnsn
aflatoksina	aflatoksin	Ncmsg
M1	ma	Ncfsg
–	–	Z
kombiniranom	kombiniran	Agpfsiy
metodom	metoda	Ncfsi
tekućinske	tekućinski	Agpfsgy
kromatografije-spektrometrije	kromatografije-spektrometrija	Ncfsg
masa	masa	Ncfsn
(	(	Z
LC-MS	lc-ma	Ncfpn
/	/	Z
MS	MS	Npmsn
)	)	Z
Vlastita	vlastit	Agpfsny
metoda	metoda	Ncfsn
SOP-26-053	SOP-26-053	Mdc
Izdanje	izdanje	Ncnsn
/	/	Z
04	04	Mdc
2011	2011	Mdc
-	-	Z
10	10	Mdc
-	-	Z
03	03	Mdc
Mlijeko	mlijeko	Ncnsn
i	i	Cc
mlijeko	mlijeko	Ncnsa
u	u	Sl
prahu	prah	Ncmsl
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
aflatoksina	aflatoksin	Ncmsg
M1	m1	Ncfpg
u	u	Sl
mlijeku	mlijeko	Ncnsl
i	i	Cc
mlijeku	mlijeko	Ncnsl
u	u	Sl
prahu	prah	Ncmsl
visokodjelotvornom	visokodjelotvoran	Agpmsly
tekućinskom	tekućinski	Agpmsly
kromatografijom	kromatografija	Ncfsi
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
14501:2008	14501:2008	Mdc
(	(	Z
ISO	ISO	Npmsn
14501:2007	14501:2007	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
14501:2007	14501:2007	Mdc
)	)	Z
Žitarice	žitarica	Ncfpn
i	i	Cc
mlinski	mlinski	Agpmpny
proizvodi	proizvoditi	Vmr3s
Određivanje	određivanje	Ncnsa
ohratoksina	ohratoksin	Ncmsg
A	a	Cc
u	u	Sl
hrani	hrana	Ncfsl
HRN	HRN	Npmsn
EN	EN	Npmsn
14132:2010	14132:2010	Mdc
(	(	Z
EN	EN	Npmsn
14132:2009	14132:2009	Mdc
)	)	Z
Modificirana	modificirati	Appfsny
SOP-1-053	sop-1-05i	Agpnsny
Izdanje	izdanje	Ncnsn
01	01	Mdc
2013	2013	Mdc
-	-	Z
04	04	Mdc
-	-	Z
15	15	Mdc
Orašasti	orašasti	Agpmpny
plodovi	plod	Ncmpn
Određivanje	određivanje	Ncnsn
skupnih	skupni	Agpmpgy
aflatoksina	aflatoksin	Ncmpg
(	(	Z
B1	B1	X
,	,	Z
B2	bi	Agpnsny
,	,	Z
G1	G	Npmsl
,	,	Z
G2	G2	X
)	)	Z
ELISA	elisa	Ncfsn
tehnikom	tehnika	Ncfsi
Vlastita	vlastit	Agpfsny
metoda	metoda	Ncfsn
SOP-107-054	SOP-107-054	Mdc
Izdanje	izdanje	Ncnsn
01	01	Mdc
2009	2009	Mdc
-	-	Z
06	06	Mdc
-	-	Z
15	15	Mdc
Jabučni	jabučni	Agpmsny
sok	sok	Ncmsn
Određivanje	određivanje	Ncnsn
patulina	patulin	Ncmpg
u	u	Sl
jabučnim	jabučni	Agpmply
sokovima	sok	Ncmpl
HPLC	HPLC	Pi-mpn
tehnikom	tehnika	Ncfsi
Vlastita	vlastit	Agpfsny
metoda	metoda	Ncfsn
SOP-9-054	SOP-9-054	Ps3nsn
Izdanje	izdanje	Ncnsn
2013	2013	Mdc
-	-	Z
04	04	Mdc
-	-	Z
20	20	Mdc

FLEKSIBILNO	fleksibilan	Agpnsny
PODRUČJE	područje	Ncnsn
AKREDITACIJE	akreditacija	Ncfsg

Materijali	materijal	Ncmpn
/	/	Z
Proizvodi	proizvod	Ncmpn
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Napomena	napomena	Agpfsny
Hrana	hrana	Ncfsn
Određivanje	određivanje	Ncnsn
mikotoksina	mikotoksina	Ncfpg
LC-MS	lc-ma	Ncfsg
/	/	Z
MS	MS	Npmsn
Prema	prema	Sl
popisu	popis	Ncmsl
metoda	metoda	Ncfpg
dostupnom	dostupan	Agpmsly
na	na	Sa
www.stampar.hr	www.stampar.hr	X

5.	5.	Mdo
Hrvatski	hrvatski	Agpmsny

