Z-6503	Z-6503	Y
Općina	općina	Ncfsn
:	:	Z
SUĆURAJ	sućuraj	Ncmsn
Sućuraj	Sućuraj	Var3p
Ostatci	ostatak	Ncmpn
potonulog	potonuli	Agpmsgy
američkog	američki	Agpmsgy
aviona	avion	Ncmsg
B-24	B-24	Npmsn
Liberator	Liberator	Npmsn
iz	iz	Sg
Drugoga	drugi	Mlomsg
svjetskog	svjetski	Agpmsgy
rata	rat	Ncmsg
N	i	Agpmsgy
43	43	Mdc
°	°	Z
06	06	Mdc
’	’	Z
40	40	Mdc
’’	’’	Z
E	e	Y
17	17	Mdc
°	°	Z
07	07	Mdc
’	’	Z
20	20	Mdc
’’	’’	Agpmsny
Datum	datum	Ncmsn
:	:	Z
05.05.2015	05.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0095	06/0095	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6527	Z-6527	Mdc

(	(	Z
C	C	X
)	)	Z
POKRETNA	pokretan	Agpnpay
KULTURNA	kulturan	Agpnpay
DOBRA	dobro	Ncnpa

Naselje	naselje	Ncnsn
,	,	Z
smještaj	smještaj	Ncmsn
/	/	Z
pohranjeno	pohraniti	Appnsny
Kulturno	kulturan	Agpnsny
dobro	dobro	Ncnsn
/	/	Z
skupina	skupina	Ncfsn
kulturnih	kulturan	Agpnpgy
dobara	dobro	Ncnpg
Rješenje	rješenje	Ncnsn
Broj	broj	Ncmsn
registra	registar	Ncmsg
Bjelovarsko-bilogorska	bjelovarsko-bilogorski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
BJELOVAR	bjelovar	Ncmsn
Bjelovar	bjelovar	Agpmsny
Gradski	gradski	Agpmsny
muzej	muzej	Ncmsn
Bjelovar	Bjelovar	Npmsn
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
samouke	samouk	Agpfsgy
kiparice	kiparica	Ncfsg
Evice	Evica	Npfsg
Pocrnić	Pocrnić	Npfsg
Datum	datum	Ncmsn
:	:	Z
22.05.2015	22.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0113	06/0113	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

