sulfid	sulfid	Ncmsn
od	od	Sg
prekursora	prekursor	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
c.	ca	Ncfsl

f.	f.	Y
oprema	opremati	Vmr3s
za	za	Sa
zaštitu	zaštita	Ncfsa
i	i	Cc
dekontaminaciju	dekontaminacija	Ncfsa
,	,	Z
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
ili	ili	Cc
modificirana	modificirati	Appfsny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
,	,	Z
komponente	komponenta	Ncfpa
i	i	Cc
kemijske	kemijski	Agpfsgy
smjese	smjesa	Ncfsg
,	,	Z
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
oprema	oprema	Ncfsn
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
ili	ili	Cc
modificirana	modificirati	Appfsny
za	za	Sa
obranu	obrana	Ncfsa
od	od	Sg
materijala	materijal	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
a.	ai	Agpnsny
,	,	Z
ML7	ML7	Qr
.	.	Z
b.	b.	Y
ili	ili	Cc
ML7	ML7	Pd-nsn
.	.	Z
d.	d.	Y
i	i	Cc
za	za	Sa
nju	on	Pp3fsa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
;	;	Z

2.	2.	Mdo
oprema	oprema	Ncfsn
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
ili	ili	Cc
modificirana	modificirati	Appfsny
za	za	Sa
dekontaminaciju	dekontaminacija	Ncfsa
objekata	objekt	Ncmpg
kontaminiranih	kontaminirati	Agpmpgy
materijalima	materijal	Ncmpi
navedenima	naveden	Agpmpiy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
a.	aa	Ncfsl
i	i	Cc
ML7	mli	Agpnsny
.	.	Z
b.	b.	Y
i	i	Cc
za	za	Sa
nju	on	Pp3fsa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
;	;	Z

3.	3.	Mdo
kemijske	kemijski	Agpfsgy
smjese	smjesa	Ncfsg
posebno	posebno	Rgp
razvijene	razvijen	Agpmpay
ili	ili	Cc
oblikovane	oblikovan	Agpfpny
za	za	Sa
dekontaminaciju	dekontaminacija	Ncfsa
objekata	objekt	Ncmpg
kontaminiranih	kontaminirati	Agpmpgy
materijalima	materijal	Ncmpi
navedenima	naveden	Agpmpiy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
a.	aa	Ncfsl
ili	ili	Cc
ML7	ML	Npmsl
.	.	Z
b.	b.	Y
;	;	Z

Napomena	napomena	Ncfsn
:	:	Z
ML7	ML7	Qr
.	.	Z
f.	f.	Y
1.	1.	Mdo
uključuje	uključivati	Vmr3s
:	:	Z

a.	a.	Y
rashladne	rashladni	Agpfsgy
jedinice	jedinica	Ncfsg
posebno	posebno	Rgp
konstruirane	konstruirati	Appfsgy
ili	ili	Cc
modificirane	modificirati	Appfpny
za	za	Sa
nuklearno	nuklearan	Agpnsay
,	,	Z
biološko	biološki	Agpnsny
ili	ili	Cc
kemijsko	kemijski	Agpnsay
filtriranje	filtriranje	Ncnsa
;	;	Z

b.	bi	Agpfsay
zaštitnu	zaštitni	Agpfsay
odjeću	odjeća	Ncfsa
.	.	Z

POZOR	pozor	Ncmsn
:	:	Z
Za	za	Sa
civilne	civilan	Agpfpay
zaštitne	zaštitni	Agpfpay
maske	maska	Ncfpa
,	,	Z
zaštitnu	zaštitni	Agpfsay
