–	–	Z
Šarar	Šarar	Npfsn
Mirjana	Mirjana	Npfsn
,	,	Z
Trnsko	Trnsko	Npmsn
13	13	Mdc
A	a	Cc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-4600	U-I-4600	X
/	/	Z
2014	2014	Mdc
–	–	Z
Zamboni	Zambon	Npmsg
Željka	Željko	Npmsg
,	,	Z
Dedići	Dedići	Npmsn
125	125	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-4601	U-I-4601	X
/	/	Z
2014	2014	Mdc
–	–	Z
Divjak	Divja	Npmsg
Danijela	Danijel	Npmsg
,	,	Z

