smjeru	smjer	Ncmsd
člancima	članak	Ncmpl
57.	57.	Mdo
,	,	Z
58.	58.	Mdo
i	i	Cc
59.	59.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

Vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
ne	ne	Qz
pozdravljaju	pozdravljati	Vmr3p
se	sebe	Px--sa
u	u	Sl
restoranima	restoran	Ncmpl
i	i	Cc
drugim	drugi	Mlompl
prostorima	prostor	Ncmpl
za	za	Sa
podjelu	podjela	Ncfsa
i	i	Cc
konzumaciju	konzumacija	Ncfsa
hrane	hrana	Ncfsg
,	,	Z
kantinama	kantina	Ncfpl
,	,	Z
borbenim	borben	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
vojnim	vojni	Agpnply
vozilima	vozilo	Ncnpl
,	,	Z
u	u	Sl
građanskim	građanski	Agpnply
prijevoznim	prijevozni	Agpnply
sredstvima	sredstvo	Ncnpl
te	te	Cc
u	u	Sl
sanitarnim	sanitaran	Agpmply
čvorovima	čvor	Ncmpl
te	te	Cc
u	u	Sl
područjima	područje	Ncnpl
zabrane	zabrana	Ncfsg
pozdravljanja	pozdravljanje	Ncnsg
.	.	Z

2.	2.	Mdo
PRILAŽENJE	prilaženje	Ncnsa
MLAĐE	mlad	Agcfsgy
VOJNE	vojni	Agpfpny
OSOBE	osoba	Ncfpn
STARIJOJ	star	Agcfsly
VOJNOJ	vojni	Agpfsly
OSOBI	osoba	Ncfsl

