sjedištima	sjedište	Ncnpl
)	)	Z
u	u	Sa
radne	radni	Agpmpay
dane	dan	Ncmpa
izvan	izvan	Sg
redovitog	redovit	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
do	do	Sg
20,00	20,00	Mdc
sati	sat	Ncmpg
,	,	Z
a	a	Cc
u	u	Sa
dane	dan	Ncmpa
tjednog	tjedni	Agpmsgy
odmora	odmor	Ncmsg
,	,	Z
neradne	neradan	Agpmpay
dane	dan	Ncmpa
i	i	Cc
državne	državni	Agpmpay
blagdane	blagdan	Ncmpa
od	od	Sg
08,00	08,00	Mdc
do	do	Sg
20,00	20,00	Mdc
sati	sat	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
izvijestiti	izvijestiti	Vmn
nadležno	nadležan	Agpnsay
državno	državni	Agpnsay
odvjetništvo	odvjetništvo	Ncnsa
,	,	Z
policijsku	policijski	Agpfsay
upravu	uprava	Ncfsa
i	i	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
rasporedu	raspored	Ncmsl
dežurstava	dežurstvo	Ncnpg
sudaca	sudac	Ncmpg
i	i	Cc
službenika	službenik	Ncmpg
te	te	Cc
o	o	Sl
podacima	podatak	Ncmpl
o	o	Sl
njihovoj	njihov	Agpfsly
dostupnosti	dostupnost	Ncfsl
u	u	Sl
slučaju	slučaj	Ncmsl
pasivnog	pasivan	Agpnsgy
dežurstva	dežurstvo	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kad	kad	Cs
se	sebe	Px--sa
za	za	Sa
vrijeme	vrijeme	Ncnsa
pasivnog	pasivan	Agpnsgy
dežurstva	dežurstvo	Ncnsg
suca	sudac	Ncmsay
javi	javiti	Vmr3s
potreba	potreba	Ncfsn
za	za	Si
obavljanjem	obavljanje	Ncnsi
službene	služben	Agpfsgy
radnje	radnja	Ncfsg
,	,	Z
za	za	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
traje	trajati	Vmr3s
obavljanje	obavljanje	Ncnsa
radnje	radnja	Ncfsg
sucu	sudac	Ncmsl
pripada	pripadati	Vmr3s
naknada	naknada	Ncfsn
za	za	Sa
aktivno	aktivan	Agpnsay
dežurstvo	dežurstvo	Ncnsa
po	po	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Rad	rad	Ncmsan
izvan	izvan	Sg
redovitog	redovit	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
za	za	Sa
slučajeve	slučaj	Ncmpa
iz	iz	Sg
