SLUŽBENIK	službenik	Ncmsn
–	–	Z
MANIPULANT	manipulan	Agpnsiy
GORIVOM	gorivo	Ncnsi
U	u	Sl
SPECIJALNOJ	specijalan	Agpfsly
POLICIJI	policija	Ncfsl
0,960	0,960	Mdc
75	75	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
ZRAKOPLOVNI	zrakoplovan	Agpmsny
TEHNIČAR	tehničar	Ncmsn
0,960	0,960	Mdc
75	75	Mdc

