pokretnine	pokretnina	Ncfpa
određivanju	određivanje	Ncnsl
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
osiguranja	osiguranje	Ncnsg
oduzimanja	oduzimanje	Ncnsg
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
zabranom	zabrana	Ncfsg
I	i	Cc
okrivljenom	okriviti	Appnsly
Milanu	Milan	Npmsd
Bandiću	Bandić	Npmsd
ili	ili	Cc
trećoj	treći	Mlofsl
osobi	osoba	Ncfsl
po	po	Sl
njegovom	njegov	Agpnsly
ovlaštenju	ovlaštenje	Ncnsl
ili	ili	Cc
nalogu	nalog	Ncmsl
otuđenja	otuđenje	Ncnsg
ili	ili	Cc
opterećenja	opterećenje	Ncnsg
pokretnina	pokretnina	Ncfpg
–	–	Z
umjetničkih	umjetnički	Agpfpgy
slika	slika	Ncfpg
i	i	Cc
skulptura	skulptura	Ncfpg
te	te	Cc
oduzimanjem	oduzimanje	Ncnsi
istih	isti	Agpmpgy
,	,	Z
i	i	Cc
to	to	Qo
na	na	Sa
način	način	Ncmsan
da	da	Cs
ih	oni	Pp3-pa
kao	kao	Cs
predsjednica	predsjednica	Ncfsn
upravnog	upravan	Agpmsgy
odbora	odbor	Ncmsg
Zagrebačke	zagrebački	Agpfsgy
zaklade	zaklada	Ncfsg
za	za	Sa
pomoć	pomoć	Ncfsa
osobama	osoba	Ncfpd
oboljelima	oboljeo	Agpmpdy
od	od	Sg
cerebrovaskulamih	cerebrovaskulamii	Agpfsgy
bolesti	bolest	Ncfsg
prikaže	prikazati	Vmr3s
kao	kao	Cs
vlasništvo	vlasništvo	Ncnsn
iste	isti	Agpfsgy
zaklade	zaklada	Ncfsg
,	,	Z
iako	iako	Cs
znajući	znati	Rr
da	da	Cs
navedene	naveden	Agpfpny
umjetnine	umjetnina	Ncfpn
nisu	biti	Var3p
vlasništvo	vlasništvo	Ncnsn
spomenute	spomenuti	Agpfsgy
zaklade	zaklada	Ncfsg
,	,	Z
nego	nego	Cc
I	i	Qo
okrivljenog	okriviti	Appmsgy
Milana	Milan	Npmsay
Bandića	Bandić	Npmsay
,	,	Z
u	u	Sa
koju	koji	Pi-fsa
svrhu	svrha	Ncfsa
su	biti	Var3p
joj	on	Pp3fsd
na	na	Sa
potpis	potpis	Ncmsan
predali	predati	Vmp-pm
dokument	dokument	Ncmsan
naziva	nazivati	Vmr3s
'	'	Z
Potvrda	potvrda	Ncfsn
'	'	Z
kojim	koji	Pi-msi
se	sebe	Px--sa
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
ukupno	ukupno	Rgp
33	33	Mdc
umjetnine	umjetnina	Ncfsg
vlasništvo	vlasništvo	Ncnsn
navedene	naveden	Agpfsgy
zaklade	zaklada	Ncfsg
,	,	Z
koji	koji	Pi-msn
dokument	dokument	Ncmsn
je	biti	Var3s
tom	taj	Pd-fsi
prilikom	prilika	Ncfsi
u	u	Sl
uredu	ured	Ncmsl
Vide	Vida	Npfsg

